Unnamed: 0,ID_3,ID,ANHO_PLAN,ANHO-SIES,ANHO_SIES_CARR,ANHO_SIES_JOR,COD_PLA,ANHO,AÑO BÚSQUEDA SIES,Column6,PLAN_NOMBRE,JORNADA USACH,JORNADA SIES,ESTADO JORNADA,LLAVE,SIES_CARR,SIES,LLAVE SIES,PROGRAMA SIES,ID.1,OBSERVACIÓN,COD_PLAN2,COD CARRERA,Nombre carrera,REPLICA COD_SIES,DURACIÓN,Tipo Carrera  ,Nombre Título  ,COD_DEPTO,COD_DEPTO_2,COD_FAC,Columna2,FACULTAD,Columna1
15.0,CCIV-2010-16,1021-2010,2009-1021,2009-I71S1C90J2V1,2009-I71S1C90,2009-I71S1C90J2,1021.0,2009.0,2010.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212009.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
16.0,CCIV-2010-16,1021-2010,2010-1021,2010-I71S1C90J2V1,2010-I71S1C90,2010-I71S1C90J2,1021.0,2010.0,2010.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212010.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
17.0,CCIV-2011-10,1021-2011,2011-1021,2011-I71S1C90J2V1,2011-I71S1C90,2011-I71S1C90J2,1021.0,2011.0,2011.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212011.0,I71S1C90,I71S1C90J2V1,2011I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2011CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,10.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
18.0,CCIV-2012-10,1021-2012,2012-1021,2012-I71S1C90J2V1,2012-I71S1C90,2012-I71S1C90J2,1021.0,2012.0,2012.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212012.0,I71S1C90,I71S1C90J2V1,2012I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2012CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,10.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
19.0,CCIV-2013-7,1021-2013,2013-1021,2013-I71S1C90J2V1,2013-I71S1C90,2013-I71S1C90J2,1021.0,2013.0,2013.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212013.0,I71S1C90,I71S1C90J2V1,2013I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2013CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
20.0,CCIV-2014-7,1021-2014,2014-1021,2014-I71S1C90J2V1,2014-I71S1C90,2014-I71S1C90J2,1021.0,2014.0,2014.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212014.0,I71S1C90,I71S1C90J2V1,2014I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2014CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
21.0,CCIV-2015-7,1021-2015,2015-1021,2015-I71S1C90J2V1,2015-I71S1C90,2015-I71S1C90J2,1021.0,2015.0,2015.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212015.0,I71S1C90,I71S1C90J2V1,2015I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2015CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
22.0,CCIV-2016-7,1021-2016,2016-1021,2016-I71S1C90J2V1,2016-I71S1C90,2016-I71S1C90J2,1021.0,2016.0,2016.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212016.0,I71S1C90,I71S1C90J2V1,2016I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2016CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
23.0,CCIV-2017-7,1021-2017,2017-1021,2017-I71S1C90J2V1,2017-I71S1C90,2017-I71S1C90J2,1021.0,2017.0,2017.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212017.0,I71S1C90,I71S1C90J2V1,2017I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2017CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
24.0,CCIV-2018-7,1021-2018,2018-1021,2018-I71S1C90J2V1,2018-I71S1C90,2018-I71S1C90J2,1021.0,2018.0,2018.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212018.0,I71S1C90,I71S1C90J2V1,2018I71S1C90J2V1,PLAN ESPECIAL CONSTRUCCION CIVIL,2018CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
25.0,CCIV-2019-7,1021-2019,2019-1021,2019-I71S1C90J2V1,2019-I71S1C90,2019-I71S1C90J2,1021.0,2019.0,2019.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212019.0,I71S1C90,I71S1C90J2V1,2019I71S1C90J2V1,PLAN ESPECIAL CONSTRUCCION CIVIL,2019CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
26.0,CCIV-2022-7,1021-2022,2022-1021,2022-I71S1C90J2V1,2022-I71S1C90,2022-I71S1C90J2,1021.0,2022.0,2022.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212022.0,I71S1C90,I71S1C90J2V1,2022I71S1C90J2V1,PLAN ESPECIAL CONSTRUCCION CIVIL,2022CCIV,"NO EXISTE EN OA LA CARRERA MENCIONADA, SE ASOCIA AL PLAN ESPECIAL",1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
27.0,CCIV-2023-7,1021-2023,2023-1021,2023-I71S1C90J2V1,2023-I71S1C90,2023-I71S1C90J2,1021.0,2023.0,2023.0,,CONSTRUCCIÓN CIVIL,2.0,2.0,OK,10212023.0,I71S1C90,I71S1C90J2V1,2023I71S1C90J2V1,PLAN ESPECIAL CONSTRUCCION CIVIL,2023CCIV,,1021.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
28.0,CCIV-2010-16,1022-2010,2003-1022,2003-I71S1C90J2V1,2003-I71S1C90,2003-I71S1C90J2,1022.0,2003.0,2010.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222003.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,0,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
29.0,CCIV-2010-16,1022-2010,2004-1022,2004-I71S1C90J2V1,2004-I71S1C90,2004-I71S1C90J2,1022.0,2004.0,2010.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222004.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
30.0,CCIV-2010-16,1022-2010,2005-1022,2005-I71S1C90J2V1,2005-I71S1C90,2005-I71S1C90J2,1022.0,2005.0,2010.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222005.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
31.0,CCIV-2010-16,1022-2010,2006-1022,2006-I71S1C90J2V1,2006-I71S1C90,2006-I71S1C90J2,1022.0,2006.0,2010.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222006.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
32.0,CCIV-2010-16,1022-2010,2007-1022,2007-I71S1C90J2V1,2007-I71S1C90,2007-I71S1C90J2,1022.0,2007.0,2010.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222007.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
33.0,CCIV-2010-16,1022-2010,2008-1022,2008-I71S1C90J2V1,2008-I71S1C90,2008-I71S1C90J2,1022.0,2008.0,2010.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222008.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
34.0,CCIV-2010-16,1022-2010,2009-1022,2009-I71S1C90J2V1,2009-I71S1C90,2009-I71S1C90J2,1022.0,2009.0,2010.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222009.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
35.0,CCIV-2010-16,1022-2010,2010-1022,2010-I71S1C90J2V1,2010-I71S1C90,2010-I71S1C90J2,1022.0,2010.0,2010.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222010.0,I71S1C90,I71S1C90J2V1,2010I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2010CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,16.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
36.0,CCIV-2011-10,1022-2011,2011-1022,2011-I71S1C90J2V1,2011-I71S1C90,2011-I71S1C90J2,1022.0,2011.0,2011.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222011.0,I71S1C90,I71S1C90J2V1,2011I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2011CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,10.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
37.0,CCIV-2012-10,1022-2012,2012-1022,2012-I71S1C90J2V1,2012-I71S1C90,2012-I71S1C90J2,1022.0,2012.0,2012.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222012.0,I71S1C90,I71S1C90J2V1,2012I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2012CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,10.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
38.0,CCIV-2013-7,1022-2013,2013-1022,2013-I71S1C90J2V1,2013-I71S1C90,2013-I71S1C90J2,1022.0,2013.0,2013.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222013.0,I71S1C90,I71S1C90J2V1,2013I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2013CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
39.0,CCIV-2014-7,1022-2014,2014-1022,2014-I71S1C90J2V1,2014-I71S1C90,2014-I71S1C90J2,1022.0,2014.0,2014.0,,CONSTRUCCIÓN CIVIL (V) -PARA EJECUCIÓN-,2.0,2.0,OK,10222014.0,I71S1C90,I71S1C90J2V1,2014I71S1C90J2V1,P/E CONSTRUCCION CIVIL,2014CCIV,SE ASUME QUE ESTE ES UN PLAN ESPECIAL,1022.0,CCIV,CONSTRUCCIÓN CIVIL,I71S1C90J2V1,7.0,Plan Especial,CONSTRUCTOR CIVIL,49.0,49.0,40.0,DPTO DE ING. EN OBRAS CIVILES,FACULTAD DE INGENIERÍA,40.0
